col_name,long_name,unit,ID,vcoord,hcoord,var,tp_def,rel_to_tp,model,pvu,crit,var1,var2,tp_order
ERA5_dynTP_PHI_3_5,Geopotential of local 3.5 PVU surface (ERA5),m2s-2,ERA5,z,,z,dyn,FALSE,ERA5,3.5,,,,0
ERA5_dynTP_PHI_3_5_Second,Geopotential of secondary local 3.5 PVU surface (ERA5),m2s-2,ERA5,z,,z,dyn,FALSE,ERA5,3.5,,,,1
ERA5_dynTP_PRESS_1_5,Pressure of local 1.5 PVU surface (ERA5),hPa,ERA5,p,,p,dyn,FALSE,ERA5,1.5,,,,0
ERA5_dynTP_PRESS_1_5_Second,Pressure of local secondary 1.5 PVU surface (ERA5),hPa,ERA5,p,,p,dyn,FALSE,ERA5,1.5,,,,1
ERA5_dynTP_PRESS_2_0,Pressure of local 2.0 PVU surface (ERA5),hPa,ERA5,p,,p,dyn,FALSE,ERA5,2,,,,0
ERA5_dynTP_PRESS_2_0_Second,Pressure of local secondary 2.0 PVU surface (ERA5),hPa,ERA5,p,,p,dyn,FALSE,ERA5,2,,,,1
ERA5_dynTP_PRESS_3_5,Pressure of local 3.5 PVU surface (ERA5),hPa,ERA5,p,,p,dyn,FALSE,ERA5,3.5,,,,0
ERA5_dynTP_PRESS_3_5_Second,Pressure of local secondary 3.5 PVU surface (ERA5),hPa,ERA5,p,,p,dyn,FALSE,ERA5,3.5,,,,1
ERA5_dynTP_THETA_1_5,Potential temperature at local 1.5 PVU surface (ERA5),K,ERA5,pt,,pt,dyn,FALSE,ERA5,1.5,,,,0
ERA5_dynTP_THETA_1_5_Second,Potential temperature at local secondary 1.5 PVU surface (ERA5),K,ERA5,pt,,pt,dyn,FALSE,ERA5,1.5,,,,1
ERA5_dynTP_THETA_2_0,Potential temperature at local 2.0 PVU surface (ERA5),K,ERA5,pt,,pt,dyn,FALSE,ERA5,2,,,,0
ERA5_dynTP_THETA_2_0_Second,Potential temperature at local secondary 2.0 PVU surface (ERA5),K,ERA5,pt,,pt,dyn,FALSE,ERA5,2,,,,1
ERA5_dynTP_THETA_3_5,Potential temperature at local 3.5 PVU surface (ERA5),K,ERA5,pt,,pt,dyn,FALSE,ERA5,3.5,,,,0
ERA5_dynTP_THETA_3_5_Second,Potential temperature at local secondary 3.5 PVU surface (ERA5),K,ERA5,pt,,pt,dyn,FALSE,ERA5,3.5,,,,1
ERA5_EQLAT,Equivalent latitude (ERA5),deg N,ERA5,,eql,,,,ERA5,,,,,
ERA5_GPH,Geopotential (ERA5),m2s-2,ERA5,z,,geopot,,,ERA5,,,,,
ERA5_GPH_1_5,Geopotential at main 1.5 PVU surface,m2s-2,ERA5,z,,geopot,dyn,FALSE,ERA5,1.5,,,,0
ERA5_GPH_1_5_Second,Geopotential at secondary 1.5 PVU surface,m2s-2,ERA5,,,,dyn,FALSE,ERA5,1.5,,,,1
ERA5_GPH_2_0,Geopotential at main 2.0 PVU surface,m2s-2,ERA5,z,,geopot,dyn,FALSE,ERA5,2,,,,0
ERA5_GPH_2_0_Second,Geopotential at secondary 2.0 PVU surface,m2s-2,ERA5,,,,dyn,FALSE,ERA5,2,,,,1
ERA5_GPH_3_5,Geopotential at main 3.5 PVU surface,m2s-2,ERA5,z,,geopot,dyn,FALSE,ERA5,3.5,,,,0
ERA5_GPH_3_5_Second,Geopotential at secondary 3.5 PVU surface,m2s-2,ERA5,,,,dyn,FALSE,ERA5,3.5,,,,1
ERA5_HEIGHT,Geopotential height (ERA5),km,ERA5_calc,z,,z,,,ERA5,,,ERA5_PHI,,
ERA5_HEIGHT_1_5,Geopotential height at main 1.5 PVU surface,km,ERA5_calc,z,,z,dyn,FALSE,ERA5,1.5,,ERA5_dynTP_PHI_1_5,,0
ERA5_HEIGHT_1_5_Second,Geopotential height at secondary 1.5 PVU surface,km,ERA5_calc,z,,z,dyn,FALSE,ERA5,1.5,,ERA5_dynTP_PHI_1_5_Second,,1
ERA5_HEIGHT_2_0,Geopotential height at main 2.0 PVU surface,km,ERA5_calc,z,,z,dyn,FALSE,ERA5,2,,ERA5_dynTP_PHI_2_0,,0
ERA5_HEIGHT_2_0_Second,Geopotential height at secondary 2.0 PVU surface,km,ERA5_calc,z,,z,dyn,FALSE,ERA5,2,,ERA5_dynTP_PHI_2_0_Second,,1
ERA5_HEIGHT_3_5,Geopotential height at main 3.5 PVU surface,km,ERA5_calc,z,,z,dyn,FALSE,ERA5,3.5,,ERA5_dynTP_PHI_3_5,,0
ERA5_HEIGHT_3_5_Second,Geopotential height at secondary 3.5 PVU surface,km,ERA5_calc,z,,z,dyn,FALSE,ERA5,3.5,,ERA5_dynTP_PHI_3_5_Second,,1
ERA5_O3,Pseudo coord: Ozone from ERA5,mol mol-1,ERA5,mxr,,,chem,FALSE,ERA5,,n2o,,,0
