DATETIME,year_frac,P,LAT,LON,TH,STRAT_O3,SF6,CFC12,N2O,CO,CH4,CO2,O3
2019-11-15 21:39:20,2019.8712328767124,196.60572814941406,-40.20941162109375,-62.545841217041016,338.868408203125,False,9.932000160217285,502.4729919433594,331.12103271484375,63.72100830078125,1841.8349609375,410.61700439453125,99.92333221435547
2019-11-15 21:40:20,2019.8712328767124,196.6767120361328,-40.324520111083984,-62.56522750854492,339.68780517578125,False,9.88700008392334,503.0190124511719,330.490966796875,61.08799362182617,1838.666015625,410.5570373535156,109.5433349609375
2019-11-15 21:41:20,2019.8712328767124,196.61248779296875,-40.4384651184082,-62.58477783203125,338.8525390625,False,9.87600040435791,501.0989990234375,331.0049743652344,63.05900192260742,1841.0921630859375,410.5370178222656,99.26000213623047
2019-11-15 21:42:20,2019.8712328767124,196.65994262695312,-40.553794860839844,-62.60503387451172,339.4388732910156,False,9.996000289916992,499.95001220703125,330.04498291015625,61.2859992980957,1838.082763671875,410.59503173828125,113.4433364868164
2019-11-15 21:43:20,2019.8712328767124,196.69464111328125,-40.66990661621094,-62.626014709472656,339.3621826171875,False,9.961000442504883,500.2340087890625,330.343994140625,63.16100311279297,1838.8900146484375,410.593017578125,107.1433334350586
2019-11-15 21:44:20,2019.8712328767124,196.5664825439453,-40.78474044799805,-62.64766311645508,340.0566711425781,True,9.847999572753906,494.5270080566406,326.7559814453125,55.381004333496094,1823.7269287109375,410.26397705078125,150.82666015625
2019-11-15 21:46:30,2019.8712328767124,196.6104736328125,-41.034786224365234,-62.695003509521484,340.5118408203125,True,9.96500015258789,494.45001220703125,326.32598876953125,55.87200164794922,1821.8551025390625,410.177001953125,159.10501098632812
2019-11-15 21:47:30,2019.8712328767124,196.69940185546875,-41.14908218383789,-62.716217041015625,340.92633056640625,True,9.869999885559082,491.71600341796875,324.9250183105469,52.14799880981445,1816.2418212890625,410.0779724121094,175.13999938964844
2019-11-15 21:48:30,2019.8712328767124,196.56167602539062,-41.2646598815918,-62.73744201660156,340.8198547363281,True,9.876999855041504,493.0369873046875,324.46795654296875,51.3859977722168,1816.0830078125,409.8390197753906,175.52999877929688
2019-11-15 21:49:30,2019.8712328767124,196.64511108398438,-41.38243865966797,-62.75864791870117,340.46990966796875,True,9.954000473022461,494.0660095214844,324.92999267578125,53.0260009765625,1817.661865234375,409.9419860839844,171.25
